username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Grant Tremblay,21832095,"Cambridge, MA",2023-01-19 20:45:55,An update on the number of known COVID cases reported to the optional #AAS241 form: https://t.co/u5lFidW6SG… https://t.co/wskSda37Ud,0,Twitter Web App,
"Rabeeh Majidi, Ph.D.",625601065,"Boston, MA USA",2023-01-19 20:33:28,"workforce shortages, higher labor spending and inflated supply and drug costs, along with paused healthcare service… https://t.co/pO2jBf2ijk",0,LinkedIn,
Jeffrey Sparks MD MMSc,50034358,"Boston, MA",2023-01-19 20:22:49,@JYazdanyMD @zach_wallace_md @MassGenBrigham @MGHrheumatology @BrighamWomens @MGH_ClinEpi @mgh_mpec @ragoninstitute… https://t.co/sGBeG4TnzA,0,Twitter Web App,
Grace Ryan,1237728312836964360,"Belmont, Massachusetts",2023-01-19 20:15:25,Join me next Thursday for the MCAAP Immunization Initiative Webinar series to hear about my team’s work on HPV and… https://t.co/7xOEqAHE9j,1,Twitter for iPhone,
NEXT LEADERSHIP,851272564059983873,"Boston, MA",2023-01-19 20:15:16,"Are you in need of housing, better credit, food, and/or COVID-19 resources, and more? Contact the Contact Community… https://t.co/OFqfmo8VG9",0,SocialPilot.co,
daisy mae,1496699221382246401,"Boston, MA",2023-01-19 20:01:59,Why do so many really great shows die after 2 or 3 seasons lately ?? I’m still upset about #CityonaHill w/ Aldis Ho… https://t.co/9h9csEAUE6,0,Twitter for iPhone,
Random Hero,1599429057191477250,"Boston, MA",2023-01-19 19:57:28,"@TheRickWilson Covid was made up, doesn’t exist, no one died of covid",0,Twitter for iPhone,
iScience journal,913504061009354753,"Cambridge, MA",2023-01-19 19:51:32,Online now:  A multi-omics based anti-inflammatory immune signature characterizes Long COVID Syndrome https://t.co/1plcWWl6YN,0,dlvr.it,
BostonBrad,380105056,"Boston, MA",2023-01-19 19:51:11,"@LuckyChamu Agreed with some , but numbers are down for viewership for every game , it’s not Covid lockdown anymore !",0,Twitter for iPhone,
Rehmah Kasule,345273269,"Cambridge, MA",2023-01-19 19:46:31,“I no longer have enough in my Tank”Jacinda Arden has done an incredible job in New Zealand. Her leadership during… https://t.co/Hd2BoFkSoj,0,LinkedIn,
Dr. Catherine Ross,1679539165,"Boston, MA",2023-01-19 19:36:13,Proud to have our work on COVID-19 in the #PedsICU  highlighted by @RobertCTasker @PCCM!!!! https://t.co/XN4vaahhQ5,1,Twitter Web App,
ashley 🌸,27169592,"Boston, MA",2023-01-19 19:35:00,@LadyCels you know i am in the same boat post-covid! my spoons are limited as well and honestly i’ve just come to a… https://t.co/anfIai8KZ7,0,Twitter for iPhone,
.,1555614358348210176,Boston,2023-01-19 19:33:57,"More proof  President Biden is a fraud. They need money for the ceiling debt, so they canceled the extra snap benef… https://t.co/g3a2osyHoz",0,Twitter Web App,
Boston Medical Center,87510035,"Boston, MA",2023-01-19 19:33:00,"We’re #BMCproud to share Joe Camillus has been promoted to COO! 🎉 Joe has had a profound impact in:

➡️ A campus re… https://t.co/fEqYrRVACg",1,Sprout Social,
Ada,2473683558,"Boston, MA",2023-01-19 19:31:05,"@kaiyena I've seen studies saying that it reduces your likelihood of developing long covid, regardless of how bad y… https://t.co/tQz25sWeAJ",0,Twitter for Android,
WBUR,2996801,Boston,2023-01-19 19:30:47,"At-home rapid tests have become a staple of COVID-19 precautions, but some experts worry that people are relying to… https://t.co/9PCi0mhowD",0,SocialFlow,
kimmie,1957106450,"Quincy, MA",2023-01-19 19:27:51,"@rycunni Loyal Trump supporter here. I vowed that Even if Trump showed up my door and asked me to get vaccinated, I… https://t.co/YurkjXCFQd",0,Twitter for iPhone,
Didan Meg,32649767,"Boston, MA",2023-01-19 19:17:32,How your first brush with COVID warps your immunity...LOLTA https://t.co/yBzs49qoAg,0,Twitter Web App,
Jon Levy,3702400223,"Boston, MA",2023-01-19 19:15:28,Privileged to write a commentary with Dr. Lisa Bowleg @GWUPsych in @AMJPublicHealth about frameworks to engage comm… https://t.co/UFqQqkBaUq,3,Twitter Web App,
Tyler Richmond 🇺🇸🇺🇦🎼🏈⚽️🏳️‍🌈🏀🍺🇺🇦🇺🇸,915388932392710144,"Back Bay, Boston, MA",2023-01-19 19:15:11,@GOP actually our legislators from both parties have failed us the last 10 years. no matter what LIES don trump sen… https://t.co/twGH9QGtED,0,Twitter Web App,
Randall Bock,58507461,"Newton, Massachusetts",2023-01-19 19:09:27,"@MarioNawfal Please see my https://t.co/nD63QplSb1
In regards to #bivalent #Booster  (sic) @MarioNawfal",0,Twitter for Android,
robert mills,114167493,weymouth,2023-01-19 19:06:47,"@NickAdamsinUSA Add up how many souls are gone to # Covid 19 and i reckon he will slip away, from a for example a s… https://t.co/1ZuRVQfG5G",0,Twitter for Android,
Joe P.,85140056,"Boston, MA",2023-01-19 19:05:10,"Should be able to do tomorrow stream, however the Covid Fog is hitting a bit. It makes work more insufferable. 

At… https://t.co/pVXfQFYTL2",0,Twitter Web App,
Norwood Health Dept,322057290,"Norwood, MA",2023-01-19 19:02:05,"Vaccine Clinic 1/26 3-6: NHS Caf (Enter door 14)

Covid &amp; flu ages 3+
Register: https://t.co/JmqfQnlyjE

For studen… https://t.co/LBhnPj2z1X",1,Agorapulse app,
Michael Selby,361410923,"Cambridge, MA",2023-01-19 19:01:06,@GOFH55929448 @BBCWorld Why should I keep the Indian government propaganda to myself when the world's press is repo… https://t.co/rKc2jyJIUV,0,Twitter Web App,
Northeastern Global News,331004642,"Boston, MA",2023-01-19 19:00:00,Your Google searches and tweets could raise alarms on sharp increases in COVID-19 cases weeks ahead of a major outb… https://t.co/0gr0DmsfvA,2,Sprinklr Publishing,
David Curcio,938795208422182912,"Boston, MA",2023-01-19 18:54:01,@AMCardinale As soon as I shake this Covid bullshit I’m there.,0,Twitter for iPhone,
Blue State Widow ☮️🐱🌊,1034191661306454023,"Boston, MA",2023-01-19 18:42:53,"@Davve9090 @ZaleskiLuke You will not get Covid after being vaccinated, said NO ONE EVER.   They said if you contrac… https://t.co/e1ipgjJbMU",0,Twitter Web App,
Dick Holden,26571916,"Watertown, MA",2023-01-19 18:41:04,@RepDonBacon Only Republicans talk about defunding the police…because only Republicans like @RepDonBacon HAVE defun… https://t.co/l9y268T3Bk,1,Twitter for iPhone,
Alina Chan,431762931,"Cambridge, MA",2023-01-19 18:37:40,Impressive piece by @JamesCTobias after many months of chasing the NIH for emails among scientific leaders who advi… https://t.co/55G33cYyyO,24,Twitter Web App,
RiskMap,4782164908,"Boston, MA",2023-01-19 18:31:33,⚡️ Northern Ireland Politicians Declare Covid-19 Vaccine-related Deaths ‘under Reported https://t.co/SDydhZrh2a… https://t.co/ajSv83GMbZ,0,dlvr.it,
Jesse Kanson-Benanav (he/him),19366223,"Boston, MA",2023-01-19 18:26:28,Has anyone else had sleep problems with Covid? I tested positive now over a week ago &amp; most of my physical symptoms… https://t.co/p8XS5UDjXI,0,Twitter for Android,
Fat Tony,951610373320462336,"Billerica, MA",2023-01-19 18:14:36,@Vitimus_prime @Richard83547647 @ericareport And covid vaccines are safe and work as the are intended? I still can'… https://t.co/non0apMSg5,0,Twitter for Android,
Jimmy Derochea,16544122,"Stoughton, MA",2023-01-19 18:11:59,"@PunchYourselfX2 @AllenWilson70 @HamlinIsland And more debunking evidence from a credible, neutral source:… https://t.co/PuZEFHhtwq",0,Twitter for iPhone,
Adam W Gaffney,464076088,"Boston, MA",2023-01-19 18:11:50,@EricTopol @fereshtehjahan1 Complicating this issue is that while there are *rare* well-delineated vaccine-related… https://t.co/7ltp0SkbiQ,0,Twitter Web App,
Zach Wallace,1099426369086328832,"Boston, MA",2023-01-19 18:07:44,Thrilled to celebrate with @jeffsparks and our team @MassGenBrigham @MGHrheumatology @BrighamWomens @MGH_ClinEpi… https://t.co/IFyNzQwrMK,3,Twitter for iPhone,
Concetta,15529964,Boston,2023-01-19 18:07:38,@harrylitman We had a POTUS who didn't tell the truth about Covid resulting in hundreds of thousands of people dyin… https://t.co/j9SBRjfTjT,0,Twitter Web App,
Cole 🌹,485974151,"Boston, MA",2023-01-19 18:07:06,"Today is my first day of having Long COVID, I love my life 🥰🥰🥰",0,Twitter for iPhone,
Μichael Χρ.,210153749,"Boston, MA",2023-01-19 18:02:04,"@Glazerspissoff I had Covid for a second time on New Year’s Eve, I cough and I hurt all over..  last night though I… https://t.co/Or48cx73IG",0,Twitter for iPhone,
RiskMap,4782164908,"Boston, MA",2023-01-19 18:00:33,"⚡️ Iran Reports 2 Covid Deaths, 98 New Infections https://t.co/4Xnl0shFBv #news #riskmap",0,dlvr.it,
Jimmy Derochea,16544122,"Stoughton, MA",2023-01-19 17:57:48,@PunchYourselfX2 @AllenWilson70 @HamlinIsland Another refuting article from a highly credible source:… https://t.co/eWsHrkaher,0,Twitter for iPhone,
Jimmy Derochea,16544122,"Stoughton, MA",2023-01-19 17:56:30,"@PunchYourselfX2 @AllenWilson70 @HamlinIsland I repeat, we must read credible sources, not questionable, conspiracy… https://t.co/QNiddiuL2Q",0,Twitter for iPhone,
Geoffrey Pereira,716833899578527745,"Carlisle, MA",2023-01-19 17:55:29,@Bencjacobs Because you made a totem of her Covid response and wanted it replicated here…despite us not being an is… https://t.co/rRE1N1KPci,0,Twitter Web App,
Jimmy Derochea,16544122,"Stoughton, MA",2023-01-19 17:54:21,"@PunchYourselfX2 @AllenWilson70 @HamlinIsland You failed to qualify that one must read CREDIBLE SOURCES!
i.e. https://t.co/AIcPFhddDn",0,Twitter for iPhone,
S. Kyle Johnson,325006322,"Boston, MA",2023-01-19 17:50:53,@Tamtampv @SoniyaS28427510 @TimRunsHisMouth This happened once and was an accident. But it's not shocking. This hap… https://t.co/MAsih0e9kf,0,Twitter Web App,
Jason Stockwell,18698597,"Salem, MA",2023-01-19 17:46:56,"the worker strikes are just inflation in disguise.

they are protesting higher wages across the world because the c… https://t.co/ie10ByAmgw",0,Twitter for Android,
Punzie,1024072710807273474,"Boston, MA",2023-01-19 17:45:53,"Covid day 6, isolation day 4: I just found a cough drop in my blankets down by my feet and a used (as a tissue) bal… https://t.co/rJbVg33edr",0,Twitter for iPhone,
John Garrett @guynoir/telegram/gettr,94688863,"Boston, MA",2023-01-19 17:45:13,"@EphemeralEther @ptr12343 @MarkChangizi @orwell2022 @markchangizi2 @EWoodhouse7 I think so, and the countries that… https://t.co/o64tbWku1s",0,Twitter for Android,
Rhonda,485325309,"Boston, MA",2023-01-19 17:44:27,@RobertKennedyJr @open_the_books Thankful for the vaccine! https://t.co/mwR2hW3v1P,0,Twitter for iPhone,
"Kris B Harmony OT, SNF LNHA, MBA",95301468,"Boston, Massachusetts ",2023-01-19 17:41:48,Just in: CDC and FDA release preliminary findings on bivalent COVID-19 vaccine safety. Learn more about the potenti… https://t.co/wzlQBy1GgS,0,HubSpot,
annie post,28622119,"Boston, MA",2023-01-19 17:39:40,@JacobHenry76 Covid,0,Twitter for iPhone,
Rick Berke,327449246,"Boston, MA",2023-01-19 17:38:53,"Smart angle: ""The irony of the recent handshake hiatus is that SARS-CoV-2, the microbe that inspired it, isn’t much… https://t.co/zkEDFCX2zo",0,Twitter Web App,
Brianna Wu,17264476,"Dedham, MA",2023-01-19 17:38:11,"Uhhh. The vaccines barely work against the new variant, and no one is talking about it? 

https://t.co/ey4quihPue https://t.co/qm2q6FedZC",57,Twitter for iPhone,
"James Cintolo, RN FN CPT",1478792963090169860,"Boston, Ma",2023-01-19 17:36:56,Were you this proud after receiving a COVID vaccine? https://t.co/nJH3LSmcc3,291,Twitter for iPhone,
Rep. Steve Ultrino,1303339882056687616,"Malden, MA",2023-01-19 17:32:00,"Due to recent federal action, the extra COVID SNAP benefits are ending March 2, 2023 in Massachusetts. Households w… https://t.co/PkZzWeYyft",1,TweetDeck Web App,
nevervaxed,968974045864656896,"Boston, MA",2023-01-19 17:31:53,"@rycunni After living through the SARS hoax, I wasn’t gonna be fooled by Covid. No masks ever except for a doctor v… https://t.co/odjbv3zY2G",0,Twitter for iPhone,
Elaine Squirrel,934120822800871424,"Cambridge, MA",2023-01-19 17:29:46,@natsechobbyist Ah yes. We had the water fountains. It might not be so advisable today with COVID.,0,Twitter for iPhone,
Heather Mullins,882916598515998723,"Boston, MA",2023-01-19 17:29:36,"That feeling you get when you see the MSM cover a story you covered two years ago is very familiar to me. Also, jus… https://t.co/Eq57Z7tnsC",21,Twitter for iPhone,
FEMA Region 1,18486243,"Boston, MA",2023-01-19 17:24:55,"#NewHampshire: FEMA Awards Over $5.8 Million to Keene State College for COVID Testing Costs

@NH_HSEM @KeeneState_… https://t.co/iUBEsku2lW",0,Twitter Web App,
Gemini6Ice,160424246,"Boston, MA",2023-01-19 17:19:46,@PenGwenWithLC My household has managed to get through two separate Covid infections without spreading it to other… https://t.co/np5oVQurAQ,0,Twitter for iPhone,
Rev. Phil McCrakin,1591583579640942593,"Lynn, MA",2023-01-19 17:18:06,"@SoniyaS28427510 @TimRunsHisMouth actually, hospitals admitted patients who happened to test positive for Covid but… https://t.co/zusoNhJ6uD",0,Twitter for iPhone,
Steve H,3234472856,"Somerville, MA",2023-01-19 17:10:14,Isn’t it odd that the very people telling us “Covid is over” and “get back to work” actually have the finest layere… https://t.co/OG51an09uJ,0,Twitter for iPhone,
Rev. Phil McCrakin,1591583579640942593,"Lynn, MA",2023-01-19 17:09:32,"Has anyone noticed people who bitch about disinformation call Kyle Rittenhouse a murderer, Tulsi Gabard a Russian a… https://t.co/UnIzwNHl5o",0,Twitter for iPhone,
Dugg Nickel,778419523,"Boston, MA",2023-01-19 17:04:05,@OprahDid911 @Hidenplainsigh1 @K80_Kaufmann @catturd2 @amuse @Twitter I couldn’t vote for either. I live in Ma. Bid… https://t.co/TpnuSj8BEN,0,Twitter for iPhone,
Laurie L.,1454220604245102592,"Boston, MA",2023-01-19 17:03:55,"@healthbyjames They're not safe. The vaccines are NOT approved, they are only approved for Emergency Use only. That… https://t.co/FDiFyRsp6r",3,Twitter for Android,
daniella RN,129377436,boston,2023-01-19 16:58:43,@AHinkle628 @nursekelsey I realized I had pots after reading an article on it in long covid and going “omg. This is me”.,0,Twitter for iPhone,
Denise Wagstaff,26120046,"Melrose, MA",2023-01-19 16:53:27,"@AlliPatter Ever since COVID, my routine is to play French music (not too loud) when students are doing independent… https://t.co/KjE9YIDE9t",0,Twitter for iPhone,
The Green Hornet goes R.E.D.,1602347697712893976,"Boston, MA",2023-01-19 16:51:33,"#VaccineDeath #vaccinegenocide 

Compromised is an understatement. Thank God people are waking up. 
“we should unde… https://t.co/JqhcT1aUoM",0,Twitter for iPad,
Chucky Meechum ™️,1174744184508563458,"Boston, MA",2023-01-19 16:48:29,I’m sure he wouldn’t have been involved in a boating accident had he not gotten the Covid vaccine right… https://t.co/TMNxAjfuTs,0,Twitter for iPhone,
Bolus of Gubbins,374553211,"Cambridge, MA",2023-01-19 16:46:40,Utterly shocked that I have apparently not contracted Covid from the ManRay soft opening Saturday.,0,Twitter Web App,
National Center for Equitable Care for Elders,1013867852015677440,"Boston, MA",2023-01-19 16:40:00,Join several National Training and Technical Assistance Partner organizations for Special and Vulnerable Population… https://t.co/cVd0yGOMCV,0,Twitter Web App,
Talcen🔜FC,491293942,"Boston, MA",2023-01-19 16:36:33,@hroarDog Absolutely! Been trying to for years. 👀 Now with COVID restrictions down…,0,Twitter for iPhone,
Shirl Morani,26745108,"Boston, MA",2023-01-19 16:35:48,"@PapiTrumpo Nothing to see, everything is fine. The covid vaccine work great.",0,Twitter for Android,
Didan Meg,32649767,"Boston, MA",2023-01-19 16:33:29,"COVID’s not exactly back, because it never went away...LOLTA https://t.co/1mLyA8oc1a via @BostonGlobe",0,Twitter Web App,
Kerouac The Cat,44525654,"Boston, MA",2023-01-19 16:30:41,@TimRunsHisMouth I know for a fact that hospitals were calling deaths covid if they just tested positive. I can tel… https://t.co/9BQFyrEkOy,0,Twitter for iPhone,
Jodel P. Deauna,342453276,"Boston, MA",2023-01-19 16:20:04,"""Stories""! YES!""OPEN"" QUESTIONS? I AM CHINESE-FILIPINO-AMERICAN!Tweeted! MORE PRAYER REQUESTS! Passed away...! MY P… https://t.co/HnYO8vYVFs",0,Twitter Web App,
Sissy 💙 🌈 BLM,1593233782999584769,Boston ,2023-01-19 16:19:07,"@jfstieber @kimguilfoyle By that you mean spreading misinformation about COVID and killing people? Got it, raise your bar please.",0,Twitter for Android,
Kathryn Kinzel,16975757,Boston,2023-01-19 16:16:29,"A few days ago I saw a bunch of tweets angry about the proposed private market price of Moderna’s COVID vaccine.

Y… https://t.co/mO73GpWDE1",0,Twitter for iPhone,
Mass. Department of Transitional Assistance (DTA),1252524000,"Boston, MA",2023-01-19 16:15:39,"Due to recent federal action, the extra COVID SNAP benefits are ending March 2, 2023 in Massachusetts.

Learn more… https://t.co/mWfIQQ5zQW",1,Twitter Web App,
COVID Monitor,1231916294578065408,"Boston, MA",2023-01-19 16:10:34,Covid increases chance of grave illness and death in pregnant women – study https://t.co/VSiL994k4G,0,dlvr.it,
Mass. Public Health,23711785,"Boston, MA",2023-01-19 16:04:22,Family-friendly COVID-19 vaccination clinics are taking place in cities and towns across MA – and due to popular de… https://t.co/Jqy1O0AKW4,4,Hootsuite Inc.,
The Harvard Crimson,16626603,"Cambridge, MA",2023-01-19 16:01:17,A group of students that sued Harvard for partial reimbursement of tuition after the University moved classes onlin… https://t.co/hnOTX63hfI,0,Echobox,
James,845625750413815808,Boston,2023-01-19 15:58:25,@mstinson1234 @DavidJollyFL @JoeNBC @PMcConnellLaw We invaded Iraq and they had nothing to do with 9/11. 15 of the… https://t.co/Q8E7HhbmZ8,0,Twitter Web App,
Hal Holway,19807355,"Boston, MA",2023-01-19 15:54:43,@RonFilipkowski How perverse to seek popularity by taking the ginned up anger over gas stoves and turn it into a bi… https://t.co/SUp9bPOIhi,0,Twitter for iPhone,
Marisa Lally,1347175129328078850,"Boston, MA",2023-01-19 15:54:23,We collected over 2000 California public universities' COVID-19 messages. The repository of messages is available o… https://t.co/VyywhGSTvQ,0,Twitter Web App,
One American Voice,15010136,"Greater Boston, Massachusetts",2023-01-19 15:52:17,@CrookedCraigs @DrSyedHaider Dr. Mahatma Setty has an excellent presentation that picks apart the Pfizer trial data: https://t.co/NycdpAgKOz,0,Twitter for iPhone,
Kelly Technology,300979557,North Reading MA,2023-01-19 15:50:59,Via Health Now - Patient Tips: Healthcare Provider Appointments for Post-COVID Conditions https://t.co/jGgSuMxxQm #COVID19,0,Twitter for iPad,
Vivian Darkbloom,98509251,"Boston, MA",2023-01-19 15:42:27,@LydiaBlackXo I have Covid and my nose was completely blocked up but this shit is pure gold. Much recommend https://t.co/o7lvB4nvtR,0,Twitter for iPhone,
Eileen Rudden,17655350,"Cambridge, MA",2023-01-19 15:38:47,Distinguished journal #Nature summarizes @EducEndowFoundn toolkit: what works in a practical way.  COVID derailed l… https://t.co/jRkmbY9lWh,0,Twitter Web App,
